condition,estimate.ref_time,estimate.response,estimate.rt,estimate.start_time,estimate.timeout,start_reading.ref_time,start_reading.response,start_reading.rt,surprise.ref_time,surprise.response,surprise.rt,trial_start
EI,2.07822608948,12b,4.44320082664,2.89057898521,5.0,0.50882101059,space,1.56940507889,9.02613902092,3,0.583941936493,0.0
EI,11.7964360714,300m,4.09169697762,2.73930597305,5.0,10.1403110027,space,1.65612506866,18.3937020302,1,1.03500103951,9.62877488136
EI,24.0198669434,6.5b,8.88272094727,7.74542808533,5.0,19.9602999687,space,4.05956697464,35.4081170559,1,2.42165589333,19.445704937
