Item.code,Condition
ranney66_35,E
ranney66_20,E
ranney40_09,E
ranney40_36,E
ranney40_25,E
ranney66_07,E
ranney40_38,E
ranney66_29,E
ranney66_55,E
ranney66_13,E
ranney66_47,E
est06,E
ranney66_04,E
ranney40_21,E
ranney66_11,E
ranney66_39,E
ranney66_09,E
ranney40_11,E
ranney40_30,E
ranney66_54,E
ranney66_32,E
est03,E
ranney40_33,E
ranney66_14,E
ranney66_37,E
ranney66_36,E
ranney66_46,E
ranney66_27,E
