Item.code,Condition
ranney66_31,EI
ranney40_29,EI
ranney66_05,EI
ranney40_10,EI
ranney40_03,EI
ranney66_24,EI
est18,EI
ranney66_50,EI
ranney40_08,EI
ranney66_19,EI
est21,EI
ranney40_07,EI
ranney66_08,EI
ranney40_31,EI
ranney40_23,EI
ranney66_65,EI
ranney66_03,EI
ranney40_22,EI
ranney66_33,EI
est16,EI
ranney40_16,EI
ranney66_15,EI
est13,EI
est19,EI
ranney66_17,EI
ranney66_53,EI
ranney66_52,EI
ranney40_32,EI
