Item.code,Condition
ranney66_53,I
ranney66_37,I
est18,I
ranney66_11,I
est13,I
ranney66_17,I
ranney66_36,I
est19,I
ranney66_27,I
ranney66_35,I
ranney66_07,I
est21,I
ranney40_32,I
ranney66_13,I
ranney66_29,I
ranney66_15,I
ranney40_10,I
ranney40_09,I
ranney40_36,I
ranney66_09,I
ranney40_16,I
ranney66_31,I
ranney66_54,I
ranney40_31,I
ranney66_04,I
ranney66_08,I
ranney66_03,I
ranney66_50,I
