Item.code,Condition
ranney66_33,I
ranney40_29,I
ranney66_47,I
ranney66_14,I
est03,I
ranney40_21,I
ranney66_05,I
ranney40_30,I
ranney66_55,I
ranney66_20,I
ranney66_39,I
ranney66_46,I
ranney40_23,I
ranney40_07,I
est16,I
ranney40_08,I
ranney40_38,I
ranney40_03,I
ranney40_25,I
ranney40_33,I
ranney66_65,I
ranney40_22,I
ranney66_32,I
ranney66_52,I
ranney40_11,I
ranney66_19,I
est06,I
ranney66_24,I
